id_original,texto_limpio,etiqueta_original,prediccion_svm
61,la tirana codicia del hermano impia ocasion del fin de tu siqueo huiste fiel por el airado egeo elisa hasta el termino africano donde reliquias del ardor troyano encendieron en ti nuevo deseo y entregaste en infausto himeneo al teucro enganador la fe y la mano despreciaste en tu dano presurosa la merecida fama que destruyes con el engano que obstinada quieres oh en ambas bodas poco venturosa muriendo el uno perseguida huyes huyendo el otro desdenada mueres,Amoroso,Amoroso
12,nereidas que con manos de esmeraldas para sangrarle las ocultas venas de perlas nacar y corales llenas azotais de neptuno las espaldas y cenidas las frentes de guirnaldas sobre azules delfines y ballenas oro puro cerneis de las arenas y lo guardais en las mojadas faldas decidme asi de vuestro alegre coro no os aparte aquel dios que en eolia mora ni con valiente soplo os haga agravios hallais corales perlas nacar oro tal como yo los hallo en mi senora en cabellos en frente en boca en labios,Amoroso,Religioso Mistico
582,en el prospero tiempo las serenas planen e lloran recelando el mal en el adverso ledas cantinelas cantan e atienden al buen temporal mas que sera de mi que las mis penas cuitas trabajos e largor mortal jamas alternan ni son punto ajenas sea destino o curso fatal mas emprentadas el animo mio las tiene como piedra la figura fixas estables sin algun reposo el cuerdo acuerda mas non el sandio la muerte veo e non me do cura tal es la llaga del dardo amoroso,Melancolico,Melancolico
7,julia si de la parca el furor ciego permitiera en tu vida mas tardanza no viera roma en su mayor pujanza de las guerras domesticas el fuego que semejante en el piadoso ruego a las sabinas la furiosa lanza redujeras repuesta la venganza a paz alegre y a comun sosiego al detenido dano y armas fieras tu acelerada muerte abrio camino rota la fe que violentada estaba tu sola el istmo de estas ondas eras mas acabo la fuerza del destino vida que tantas muertes excusaba,Melancolico,Melancolico
597,horas breves de mi contentamiento nunca pense jamas cuando os tenia que por mi mal trocadas os veria en tan cumplidas horas de tormento las torres que funde se llevo el viento como el viento veloz las sostenia mas de todo este mal la culpa es mia pues hice sobre falso el juramento amor con vanas muestras aparece todo lo hace llano y lo asegura y luego a lo mejor desaparece oh grande mal oh grande desventura por un pequeno bien que desfallece aventurar un bien que siempre dura,Amoroso,Religioso Mistico
581,cuentan que esforaba thimoteo a los estrenuos e magnos varones e los movia con viril desseo con agros sones e fieras canciones a la batalla e del mismo leo los retornaba con modulaciones e dulce carmen d aquel tal meneo e reposaba los sus coracones assi el animo mio se altivece se jacta e loa porque vos amo cuando yo veo tanta fermosura mas luego pronpto e presto s entristece e se maldize porque lo assayo vista vuestra crueza cuanto dura,Amoroso,Amoroso
155,lisipo a solas el trasunto vero pudo esculpir del macedonio marte do reguladas fuerzas y arte fue el escultor igual a su guerrero pues tu que agora juntas marte ibero al mundo antiguo tu segunda parte bien debe quien intenta figurarte sobrar la industria del buril primero mas como de alejandro el soberano reino te aumenta el cielo gran filipo asi te da escultor que al suyo eccede ya ves docta labor en tosca mano que oscureciendo el arte de lisipo tu espiritu infundir al marmol puede,Religioso Mistico,Religioso Mistico
487,docto museo cuyo aliento altivo escribe el sol en laminas lucientes y es la memoria de futuras gentes de tanto escrito tomo sucesivo hospede grato el bronce siempre vivo vuestros nombres y espiritus valientes pues aun con ser apolos elocuentes os festeja amoroso el ramo esquivo venid vivid la edad de vuestro nombre por mas que el tiempo destruidor presuma de tanto ingenio oscurecer la llama y para que os debais vuestro renombre no ajena voz alaba vuestra pluma prestad plumas y voz a vuestra fama,Melancolico,Religioso Mistico
361,si un fenix de otro fenix producido la forma tiene de aquel ser unida y junta a los rigores de homicida piadoso fuego que sirvio de nido muriendo lope montalban ha sido el fenix que naciendo le da vida con su estilo con gloria repetida a pesar de las aguas del olvido mas hoy del fenix muere el heredero lloren las musas y lamente apolo en el siglo presente y venidero y siempre se lamente y llore el polo cuando procede el hado tan severo y hasta el numero muere y queda el solo,Melancolico,Melancolico
555,a coronarte nubes castro al cielo rio a acabar te escondes en la tierra mendoza vuelas rayo de la guerra hurtado bajas desatado el cielo hurtado rio mueres en el suelo mendoza brillas astro que no yerra en tu curso fatal sutil se encierra en fin sagrado dueno y otro vuelo rio en la mar en el calor hurtado mendoza en aire en ceniza castro fue lamentar compuesto se destroza pero espiritu todo arrebatado nuevo te admira el orbe todo un astro de hurtado castro rio de mendoza,Religioso Mistico,Religioso Mistico
